Expert_ID_living,Height,Nodes_to_flower_inc_coty,Standard_corolla_l,Julian_days_to_flower
E. anglica x nemorosa,159,11,9.5,191
E. anglica x nemorosa,150,13,7.5,192
E. anglica x nemorosa,175,13,9,194
E. anglica x nemorosa,187,14,9,190
E. anglica x nemorosa,132,12,8,201
E. anglica x nemorosa,142,12,11.5,200
E. anglica x nemorosa,92,9,9,202
E. anglica x rostkoviana,146,11,8,206
E. anglica x rostkoviana,104,9,8.5,220
E. anglica x rostkoviana,122,10,7,
E. anglica x rostkoviana,90,9,8,
E. anglica x rostkoviana,105,9,8,
E. anglica x rostkoviana,162,12,8.5,
E. anglica x rostkoviana,147,13,8,
E. anglica x rostkoviana,127,11,8,172
E. anglica x rostkoviana,100,11,7,171
E. arctica,79,8,8.5,191
E. arctica,98,6,10,210
E. arctica,94,9,9.5,192
E. arctica,57,6,9.5,181
E. arctica,85,8,9,202
E. arctica,36,6,9,181
E. arctica,45,7,10,185
E. arctica,62,8,8.5,194
E. arctica,93,9,8,196
E. arctica,54,7,7.5,
E. arctica,157,10,8,219
E. arctica,170,10,8.5,
E. arctica,63,7,6.5,202
E. arctica,155,8,8,
E. arctica,124,9,10,198
E. arctica,81,9,9,195
E. arctica,57,8,8,
E. arctica,65,7,7.5,
E. arctica,52,7,8,
E. arctica,74,7,8,
E. arctica,207,10,9,
E. arctica,55,8,6.5,
E. arctica,84,8,8.5,198
E. arctica,78,8,9,196
E. arctica,107,8,9,186
E. arctica,116,8,9,
E. arctica,134,9,9,
E. arctica,119,8,8.5,
E. arctica,68,9,8,
E. arctica,67,8,10,186
E. arctica,44,7,9,186
E. arctica,53,8,10,188
E. arctica,102,9,7.5,
E. arctica,132,9,8.5,
E. arctica,76,8,8.5,201
E. arctica,100,10,8,200
E. arctica,67,8,10,187
E. arctica,73,9,7,202
E. arctica,65,8,6.5,
E. arctica,53,7,5.5,
E. arctica,82,8,8.5,202
E. arctica,55,10,6.5,
E. arctica,68,10,7,
E. arctica,97,8,8,204
E. arctica,110,9,8.5,209
E. arctica,101,7,7.5,205
E. arctica,75,9,7,210
E. arctica,48,10,7,187
E. arctica,58,7,9.5,186
E. arctica,87,9,7,
E. arctica,47,6,7,187
E. arctica,41,6,6,
E. arctica,97,8,7,
E. arctica,138,13,7.5,
E. arctica,111,11,8,
E. arctica,113,11,7.5,
E. arctica,81,9,7.5,208
E. arctica,59,12,6.5,187
E. arctica,58,10,6,190
E. arctica,41,11,6.5,190
E. arctica,62,10,7,
E. arctica,43,10,7,190
E. arctica,50,12,6.5,193
E. arctica x confusa,102,7,9.5,183
E. arctica x confusa,93,7,9.5,190
E. arctica x confusa,107,8,10,192
E. arctica x confusa,113,8,10,190
E. arctica x confusa,102,7,9,190
E. arctica x confusa,76,8,8,201
E. arctica x confusa,85,7,10,208
E. arctica x confusa,123,8,10,
E. arctica x confusa,97,9,9.5,
E. arctica x confusa,105,9,9,
E. arctica x nemorosa,125,9,8,206
E. arctica x nemorosa,126,10,8.5,216
E. arctica x nemorosa,158,9,9,215
E. arctica x nemorosa,97,11,8,220
E. arctica x nemorosa,102,10,8,220
E. arctica x nemorosa,106,12,8,
E. arctica x nemorosa,111,11,8.5,
E. arctica x nemorosa,372,8,8,
E. arctica x nemorosa,84,11,8.5,
E. arctica x nemorosa,140,11,8,194
E. arctica x nemorosa,94,11,9,191
E. arctica x nemorosa,129,12,6.5,197
E. arctica x nemorosa,122,12,6,196
E. arctica x nemorosa,181,13,8,
E. arctica x nemorosa,177,13,8.5,202
E. arctica x nemorosa,156,14,8,200
E. arctica x nemorosa,77,11,6,203
E. arctica x nemorosa,122,14,8,203
E. arctica x nemorosa,61,10,8.5,207
E. arctica x nemorosa,104,13,8,210
E. confusa,96,7,5.5,204
E. confusa,107,7,6.5,207
E. confusa,115,9,7.5,213
E. confusa,127,7,7.5,215
E. confusa,78,7,6.5,214
E. confusa,123,9,7.5,
E. confusa,116,10,6.5,185
E. confusa,145,7,5.5,207
E. confusa,42,9,4.5,209
E. confusa,108,13,7,
E. confusa,77,10,7,
E. confusa,131,11,8,185
E. confusa,187,14,,
E. confusa,88,9,7,
E. confusa,121,8,4,
E. confusa,204,13,7,
E. confusa,170,13,6,188
E. confusa,123,10,8,
E. confusa,51,10,7,
E. confusa,145,12,7.5,193
E. confusa,115,9,7,190
E. confusa,150,11,7,192
E. confusa,102,12,8,
E. confusa,107,11,7,
E. confusa,142,12,8,
E. confusa,183,15,7.5,
E. confusa,180,13,8,
E. confusa,192,14,8,
E. confusa,106,11,7,
E. confusa,107,10,6,
E. confusa,168,14,7.5,
E. confusa,161,15,6.5,199
E. confusa,254,14,6.5,198
E. confusa,132,11,7.5,201
E. confusa,187,16,7.5,
E. confusa,195,15,6,
E. confusa,123,11,7,203
E. confusa,149,14,7.5,
E. micrantha,54,8,6,
E. micrantha,83,8,5,
E. micrantha,72,8,5.5,
E. micrantha,65,8,5.5,
E. micrantha,112,8,6.5,
E. micrantha,56,9,5,
E. micrantha,52,9,5.5,
E. nemorosa,62,6,7.5,
E. nemorosa,39,6,6.5,
E. nemorosa,53,6,7.5,
E. nemorosa,137,12,7.5,195
E. nemorosa,154,12,7.5,210
E. nemorosa,168,13,8.5,211
E. nemorosa,95,11,7.5,
E. nemorosa,138,13,8.5,
E. nemorosa,202,15,8.5,211
E. nemorosa,132,13,8,211
E. nemorosa,157,14,8.5,218
E. nemorosa,138,11,8,
E. nemorosa,134,15,6,214
E. nemorosa,159,13,7.5,
E. nemorosa,140,15,7,
E. nemorosa,59,11,7.5,
E. nemorosa,190,13,8,
E. nemorosa,192,14,8.5,
E. nemorosa,143,12,8,197
E. nemorosa,113,11,7.5,
E. nemorosa,117,12,8.5,
E. nemorosa,92,11,7.5,202
E. nemorosa,120,13,8,202
E. nemorosa,152,14,6.5,202
E. nemorosa,120,13,6.5,204
E. nemorosa,90,12,8,207
E. nemorosa,144,9,9,208
E. confusa x nemorosa,63,8,8,188
E. confusa x nemorosa,92,10,7.5,191
E. confusa x nemorosa,98,10,7,196
E. confusa x nemorosa,88,10,8.5,195
E. confusa x nemorosa,116,10,8.5,202
E. confusa x nemorosa,73,9,7.5,204
E. confusa x nemorosa,83,10,7.5,209
E. confusa x nemorosa,127,11,8,209
E. confusa x nemorosa,92,11,8,
E. confusa x nemorosa,93,9,8,
E. pseudokerneri,228,11,11,
E. pseudokerneri,164,12,8,195
E. pseudokerneri,167,12,11,
E. pseudokerneri,215,14,10,
E. pseudokerneri,250,13,10,
E. pseudokerneri,229,13,6.5,
E. pseudokerneri,173,13,8,200
E. pseudokerneri,135,11,8,200
E. pseudokerneri,273,15,8.5,
E. pseudokerneri,234,15,10.5,
E. pseudokerneri,136,12,9.5,206
E. pseudokerneri,111,11,8,206
E. pseudokerneri,112,14,8,209
E. pseudokerneri,270,13,11,
E. pseudokerneri,263,14,10.5,
E. pseudokerneri,256,13,11,
E. pseudokerneri,153,17,9,205
E. pseudokerneri,140,16,7,214
E. pseudokerneri,81,15,8,211
E. pseudokerneri,94,14,6,
E. pseudokerneri,20,10,4.5,
E. confusa x tetraquetra,31,6,7.5,186
E. confusa x tetraquetra,47,7,7.5,190
E. confusa x tetraquetra,34,6,6,191
E. confusa x tetraquetra,67,8,7.5,195
E. confusa x tetraquetra,65,9,8,198
E. confusa x tetraquetra,70,7,8,185
E. confusa x tetraquetra,51,7,6.5,202
E. confusa x tetraquetra,92,8,7,206
E. confusa x tetraquetra,65,9,7,
E. confusa x tetraquetra,52,9,7,